,Iterations,Returns,Rnd_Returns
0,0,0.0,0.3
1,1000,1.2,0.0
2,2000,2.4,0.2
3,3000,3.6,0.0
4,4000,4.9,0.2
5,5000,3.4,1.0
6,6000,4.8,0.1
7,7000,4.9,0.6
8,8000,4.9,1.1
9,9000,4.8,1.4
10,10000,4.6,0.3
11,11000,4.6,0.0
12,12000,4.6,0.3
13,13000,4.6,0.7
14,14000,4.6,0.0
15,15000,4.6,1.3
16,16000,4.6,1.4
17,17000,4.6,0.3
18,18000,4.6,1.7
19,19000,4.7,0.2
20,20000,4.7,0.1
