,Iterations,Returns,Rnd_Returns
0,0,0.0,0.1
1,1000,1.0,0.1
2,2000,2.4,1.1
3,3000,2.7,0.0
4,4000,2.5,0.8
5,5000,3.2,0.0
6,6000,4.3,1.0
7,7000,2.5,0.9
8,8000,4.3,0.0
9,9000,4.4,0.1
10,10000,4.6,0.6
11,11000,4.3,1.4
12,12000,4.5,0.0
13,13000,4.5,0.4
14,14000,4.5,0.2
15,15000,4.6,0.0
16,16000,4.6,0.7
17,17000,4.5,0.0
18,18000,4.5,0.2
19,19000,4.8,0.0
20,20000,4.7,0.1
