,Steps,Cov_b,Cov_Rnd_b,Cov_g,Cov_Rnd_g,Cov_i,Cov_Rnd_i,Cov_j,Cov_Rnd_j,Cov_m,Cov_Rnd_m,Cov_o,Cov_Rnd_o,Cov_t,Cov_Rnd_t,Cov_v,Cov_Rnd_v,Cov_x,Cov_Rnd_x,Cov_y,Cov_Rnd_y
0,0,2706000118552105.0,2706000118552105.0,2706026440626747.5,2706026440626747.5,2706048570525942.5,2706048570525942.5,2706086053508565.0,2706086053508565.0,2706012933638766.5,2706012933638766.5,2705956126176147.0,2705956126176147.0,2706013401044432.0,2706013401044432.0,2705985914590910.0,2705985914590910.0,2706042266979957.0,2706042266979957.0,2706056711688266.0,2706056711688266.0
1,1,1.0807048048289642e+16,1.0807048048289642e+16,1.0805228405566784e+16,1.0805228405566784e+16,1.0807451347449156e+16,1.0807451347449156e+16,1.0806127052998674e+16,1.0806127052998674e+16,832972660.8612618,832972660.8612618,832693924.4177661,832693924.4177661,1.0806853102348736e+16,1.0806853102348736e+16,1.0806880498003132e+16,1.0806880498003132e+16,1.0807804793397296e+16,1.0807804793397296e+16,1.0805313956330576e+16,1.0805313956330576e+16
2,2,2.4309409338510144e+16,2.4309409338510144e+16,2.4307547387949864e+16,2.4307547387949864e+16,2.430962569738936e+16,2.430962569738936e+16,2.4306570188506616e+16,2.4306570188506616e+16,39830.29110455151,750455156611.8657,5669.462212883174,750230453605.6558,2.4297750078786652e+16,2.4297750078786652e+16,2.4312985353372956e+16,2.4312985353372956e+16,2.4298871087940212e+16,2.4298871087940212e+16,370496872.8253733,2.430304312965888e+16
3,3,4.321200606054002e+16,4.321200606054002e+16,4.320407665814924e+16,4.320407665814924e+16,4.323535647245433e+16,4.323535647245433e+16,4.3208108101918904e+16,4.3208108101918904e+16,29181.353789226083,34660.2539731649,3800.7671952410683,4419.914443573259,4.319627944182452e+16,4.319627944182452e+16,4.3226779825165976e+16,4.3226779825165976e+16,4.32030438998985e+16,4.32030438998985e+16,41969.11228185405,208444108.12066373
4,4,6.7517274830810024e+16,6.7517274830810024e+16,6.751588976335543e+16,6.751588976335543e+16,6.755473368974344e+16,6.755473368974344e+16,6.752927963994496e+16,6.752927963994496e+16,21413.69570903734,21946.921114509398,11313.398227686104,11806.46864552279,6.750631571024483e+16,6.750631571024483e+16,6.754397475447729e+16,6.754397475447729e+16,6.749751580949341e+16,6.749751580949341e+16,30878.10005391178,36795.32610810359
5,5,9.723495367637165e+16,9.723495367637165e+16,9.71879765910299e+16,9.71879765910299e+16,9.727992598551283e+16,9.727992598551283e+16,9.72562662811901e+16,9.72562662811901e+16,46963.73436975682,16005.591785297927,24485.61723972083,25150.566183245086,9.71909258555712e+16,9.71909258555712e+16,9.727337369628296e+16,9.727337369628296e+16,9.724337138240091e+16,9.724337138240091e+16,88527.90881556174,26964.159962803908
6,6,1.3237742236103363e+17,1.3237742236103363e+17,1.3234015954082432e+17,1.3234015954082432e+17,1.3242194269175866e+17,1.3242194269175866e+17,1.3240184679122608e+17,1.3240184679122608e+17,16087.109473650193,30613.909236056184,43318.43677847894,44428.9079780655,1.3229058414057811e+17,1.3229058414057811e+17,1.324050432605047e+17,1.324050432605047e+17,1.323331591642174e+17,1.323331591642174e+17,22729.272184610698,77370.81332345765
7,7,1.729265110056968e+17,1.729265110056968e+17,1.7295591743830787e+17,1.7295591743830787e+17,1.7297913374430224e+17,1.7297913374430224e+17,1.72955210786429e+17,1.72955210786429e+17,10491.60759587077,52758.55523041411,67819.47116358022,69701.83367900059,1.7283050302350416e+17,1.7283050302350416e+17,1.7298364458984685e+17,1.7298364458984685e+17,1.7277956509182208e+17,1.7277956509182208e+17,14461.648293840723,163591.88883948044
8,8,2.189145685205636e+17,2.189145685205636e+17,2.1891870173403082e+17,2.1891870173403082e+17,2.1911815333015843e+17,2.1911815333015843e+17,2.1897567585729862e+17,2.1897567585729862e+17,7699.02285279241,82506.32596135746,98006.88786112379,100897.46856603434,2.1865407677106902e+17,2.1865407677106902e+17,2.1898129096711146e+17,2.1898129096711146e+17,41244833.806227855,2.187522097107344e+17,10490.60873219253,285702.69666969904
9,9,2.7054903024564032e+17,2.7054903024564032e+17,2.7037589622581366e+17,2.7037589622581366e+17,2.7057376785164397e+17,2.7057376785164397e+17,2.7043311294547328e+17,2.7043311294547328e+17,5967.717136272507,119804.3678562058,134013.2168064223,138308.8543709095,2.7007608941758243e+17,2.7007608941758243e+17,2.7044337368957677e+17,2.7044337368957677e+17,40518.439580656806,2.701910454241573e+17,8023.514066922258,444328.5770752474
10,10,3.274743688940425e+17,3.274743688940425e+17,3.2742867397138176e+17,3.2742867397138176e+17,3.2770123655690963e+17,3.2770123655690963e+17,3.274364321576455e+17,3.274364321576455e+17,8396.626494143453,164794.271072695,175981.49209450925,181734.4195275302,3.270085866930114e+17,3.270085866930114e+17,3.273998025301283e+17,3.273998025301283e+17,30005.562940135085,3.27262629385615e+17,6368.394963706189,639212.4645433816
11,11,3.89961445287285e+17,3.89961445287285e+17,3.9012904367623386e+17,3.9012904367623386e+17,3.902699770997381e+17,3.902699770997381e+17,3.900057885972731e+17,3.900057885972731e+17,11552.265325571494,217862.39782714486,223643.13274313163,231313.17057099464,23253037.510229927,3.8968123299681094e+17,3.899663046563365e+17,3.899663046563365e+17,22280.250549900033,3.895265721179544e+17,8992.935860039968,872251.2925780114
12,12,4.583544683989012e+17,4.583544683989012e+17,4.581538082096911e+17,4.581538082096911e+17,4.586989716688296e+17,4.586989716688296e+17,4.584483713430942e+17,4.584483713430942e+17,15436.822444828467,278532.7665414101,277295.6061775745,287427.87919773406,40414.086076901374,4.575232992483838e+17,4.581788188615757e+17,4.581788188615757e+17,16827.40167366393,4.5776872315346304e+17,12416.127387062068,1141826.8918772878
13,13,5.325110026593665e+17,5.325110026593665e+17,5.316828992658546e+17,5.316828992658546e+17,5.325565458959441e+17,5.325565458959441e+17,5.3264262812211334e+17,5.3264262812211334e+17,20042.592931696963,347106.84634070663,336988.69550466444,349345.791989991,29978.82433152697,5.312851187857936e+17,17185509.3620982,5.3204336029985043e+17,12980.205458874485,5.3162723143208685e+17,16639.916366989182,1450300.0925905225
14,14,6.12179696250958e+17,6.12179696250958e+17,6.11926614985946e+17,6.11926614985946e+17,6.122155856887252e+17,6.122155856887252e+17,6.124188611804038e+17,6.124188611804038e+17,25395.91902915765,423860.29318486416,402526.93090667046,418048.5948661809,22314.66113454111,6.109109132064152e+17,42105.5246324808,6.116768860251636e+17,21644.840923602835,6.10858393812777e+17,21682.336051506536,1795083.1711996314
15,15,6.978084510128961e+17,6.978084510128961e+17,6.979336195955318e+17,6.979336195955318e+17,6.978784488829816e+17,6.978784488829816e+17,6.981477129445862e+17,6.981477129445862e+17,31499.99997159808,509585.4715174821,475169.83529424923,493496.9084163489,16919.52240749754,6.964778222130015e+17,31242.325263617302,6.97900725427632e+17,33589.65429047627,6.965108881781382e+17,27516.52477556679,2178607.0328337187
16,16,7.901876265243022e+17,7.901876265243022e+17,7.91040857767824e+17,7.91040857767824e+17,7.897299881964846e+17,7.897299881964846e+17,7.907153701412465e+17,7.907153701412465e+17,38415.690347323674,604176.8196362371,554010.228337653,575215.9430996749,31307.638920512,7.889923607502788e+17,23247.531932500984,7.899018823118561e+17,48904.70014228343,7.884779167334327e+17,34182.07812453729,2603123.8112000814
17,17,8.892100972355972e+17,8.892100972355972e+17,8.898385962649101e+17,8.898385962649101e+17,8.881484592084635e+17,8.881484592084635e+17,8.898677420542939e+17,8.898677420542939e+17,46099.375208894555,706740.18551942,638902.560110108,664571.9136448835,52055.83592777463,8.883835568550828e+17,50471.682107671186,8.884861103529357e+17,67603.10272582591,8.870356755850175e+17,41695.675358574874,3072018.50482097
18,18,9.953009815401814e+17,9.953009815401814e+17,9.965671107571164e+17,9.965671107571164e+17,9.941866492033741e+17,9.941866492033741e+17,9.961737779840549e+17,9.961737779840549e+17,54630.95418520733,818790.5475436996,731544.1164154216,761368.7613351567,79283.6472719148,9.942905237436352e+17,92520.62027791578,9.947674261831293e+17,89627.0823134056,9.934343177904411e+17,50089.99754506066,3579387.7254462233
19,19,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,64017.67718269385,941005.2189179811,830548.2881486374,865811.1814135523,113019.36757112145,1.1085356870563099e+18,149351.71248023826,1.1089714620974033e+18,115067.68794205623,1.107728605013376e+18,59329.83107251792,4135759.5573401423
