,Iterations,Cov_b,Cov_rnd_b,Cov_g,Cov_rnd_g,Cov_i,Cov_rnd_i,Cov_j,Cov_rnd_j,Cov_m,Cov_rnd_m,Cov_o,Cov_rnd_o,Cov_t,Cov_rnd_t,Cov_v,Cov_rnd_v,Cov_x,Cov_rnd_x,Cov_y,Cov_rnd_y
0,0,120000000000.0,120000000000.0,420000000000.0,420000000000.0,540000000000.0,540000000000.0,600000000000.0,600000000000.0,780000000000.0,780000000000.0,900000000000.0,900000000000.0,1200000000000.0,1200000000000.0,1320000000000.0,1320000000000.0,1440000000000.0,1440000000000.0,1500000000000.0,1500000000000.0
1,1000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1336157338832.0059,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,813444.0847015282,1.1082409903631058e+18,830548.2881486374,148432.36723107172,1.1085356870563099e+18,1.1085356870563099e+18,1.1089714620974033e+18,1.1089714620974033e+18,1.107728605013376e+18,1.107728605013376e+18,1815598.0087083608,1.1074631280393562e+18
2,2000,8669760.771654468,1.1091252306956751e+18,1.1103985582459951e+18,49973.61967595107,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,248937.16194674745,10374217989271.91,830548.2881486374,383757.3844785374,141700.68158648448,1338501066425.1567,157397.75526158907,1.1089714620974033e+18,696725.3408416259,1337362863040.8374,439627.48488528177,10373245393833.041
3,3000,8669760.771654468,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,76523.38212911443,1.1082409903631058e+18,830548.2881486374,1.108149453753261e+18,113019.36757112145,1.1085356870563099e+18,149351.71248023826,1.1089714620974033e+18,177678.8579091826,1.107728605013376e+18,63511.65664409934,1.1074631280393562e+18
4,4000,8669760.771654468,1.1091252306956751e+18,1.1103985582459951e+18,15749.024034792588,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,64110.81898802665,1.1082409903631058e+18,830548.2881486374,83401.10398081238,19559.80863832437,1.1085356870563099e+18,29476.346998003777,1.1089714620974033e+18,14819.707546866892,1.107728605013376e+18,12520.274501641592,1.1074631280393562e+18
5,5000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,3002128579634.136,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,8935.814086352011,229248.89827776188,830548.2881486374,52733.469286024665,7100.892715011929,1.1085356870563099e+18,13646.46229556469,1.1089714620974033e+18,5329.198832411541,1.107728605013376e+18,6083.859768729203,408304.50080164673
6,6000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,144107.03858842995,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,5566.887533247827,42982.36528333805,29009.358094907977,53661.32991521226,14092.007245105451,17169.617963276207,24560.410065639742,24560.410065639742,10558.91075151406,15834.660295260537,5447.740013304632,17033.242369802396
7,7000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,4668.365328069992,458625.9785539853,830548.2881486374,48221870461254.555,8000.596911852765,1.1085356870563099e+18,24560.410065639742,1.1089714620974033e+18,5197.047830666428,1.107728605013376e+18,3953.5117871290176,566514.7509048113
8,8000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,3800.936348014385,1.1082409903631058e+18,830548.2881486374,1.108149453753261e+18,14868.13787398331,1.1085356870563099e+18,8549298265.714013,95092295691.22061,7772.7116172178985,1.107728605013376e+18,3953.5117871290176,1.1074631280393562e+18
9,9000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,97353432778320.38,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,3800.936348014385,1.1082409903631058e+18,830548.2881486374,1.108149453753261e+18,14868.13787398331,1.1085356870563099e+18,8549298265.714013,1.1089714620974033e+18,7772.7116172178985,1.107728605013376e+18,3953.5117871290176,1.1074631280393562e+18
