,Iterations,Returns,Rnd_Returns
0,0,0.0,0.1
1,1000,1.2,0.4
2,2000,2.1,1.0
3,3000,3.2,0.0
4,4000,3.9,0.9
5,5000,4.8,1.6
6,6000,3.4,2.2
7,7000,4.8,1.1
8,8000,4.6,0.1
9,9000,4.6,0.1
10,10000,4.6,0.7
11,11000,4.6,0.0
12,12000,4.6,0.4
13,13000,4.6,0.4
14,14000,4.6,0.3
15,15000,4.5,0.1
16,16000,4.8,2.3
17,17000,4.7,0.8
18,18000,4.8,1.9
19,19000,4.7,1.8
20,20000,4.8,0.1
