,Iterations,Cov_b,Cov_rnd_b,Cov_g,Cov_rnd_g,Cov_i,Cov_rnd_i,Cov_j,Cov_rnd_j,Cov_m,Cov_rnd_m,Cov_o,Cov_rnd_o,Cov_t,Cov_rnd_t,Cov_v,Cov_rnd_v,Cov_x,Cov_rnd_x,Cov_y,Cov_rnd_y
10,10000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,48270661643932.89,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,4992.13610472514,27842.69730377483,2807765.9611247918,574682.0534238771,8000.596911852765,1.1085356870563099e+18,24560.410065639742,1.1089714620974033e+18,5197.047830666428,1.107728605013376e+18,3953.5117871290176,10373245393833.041
11,11000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,3870.638924692648,28829.57944875112,2807765.9611247918,97496603178742.25,51215.28849524682,114015.78273156604,8549298265.714013,508723.3960572346,7973.137158735249,105616.43016944114,3953.5117871290176,27789.817200396184
12,12000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,3650.5902681219113,1.1082409903631058e+18,830548.2881486374,1.108149453753261e+18,51215.28849524682,1.1085356870563099e+18,8549298265.714013,1.1089714620974033e+18,7973.137158735249,1.107728605013376e+18,3953.5117871290176,1.1074631280393562e+18
13,13000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,3650.5902681219113,37774096135.981766,830548.2881486374,1.108149453753261e+18,51215.28849524682,37745891334.869736,8549298265.714013,1.1089714620974033e+18,7973.137158735249,37771152397.039825,3953.5117871290176,37789557213.14228
14,14000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,27080145627928.375,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,27160151752778.008,3650.5902681219113,1.1082409903631058e+18,830548.2881486374,1.108149453753261e+18,51215.28849524682,1.1085356870563099e+18,8549298265.714013,1.1089714620974033e+18,7973.137158735249,1.107728605013376e+18,3953.5117871290176,1.1074631280393562e+18
15,15000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,3800.936348014385,1.1082409903631058e+18,830548.2881486374,1.108149453753261e+18,14868.13787398331,1.1085356870563099e+18,8549298265.714013,1.1089714620974033e+18,7772.7116172178985,1.107728605013376e+18,3953.5117871290176,1.1074631280393562e+18
16,16000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,3800.936348014385,1.1082409903631058e+18,830548.2881486374,1.108149453753261e+18,14868.13787398331,21029.087243833703,8549298265.714013,24560.410065639742,7772.7116172178985,19697.730195742857,3953.5117871290176,8539107665.891914
17,17000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,3650.5902681219113,1.1082409903631058e+18,830548.2881486374,1.108149453753261e+18,51215.28849524682,1.1085356870563099e+18,8549298265.714013,1.1089714620974033e+18,7973.137158735249,1.107728605013376e+18,3953.5117871290176,1.1074631280393562e+18
18,18000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,336139175027.77014,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,3650.5902681219113,1.1082409903631058e+18,830548.2881486374,335741831625.8508,51215.28849524682,1.1085356870563099e+18,8549298265.714013,1.1089714620974033e+18,7973.137158735249,1.107728605013376e+18,3953.5117871290176,1.1074631280393562e+18
19,19000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,4668.365328069992,1.1082409903631058e+18,830548.2881486374,1.108149453753261e+18,8000.596911852765,1.1085356870563099e+18,24560.410065639742,1.1089714620974033e+18,5197.047830666428,1.107728605013376e+18,3953.5117871290176,1.1074631280393562e+18
20,20000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,4456.406713897491,1.1082409903631058e+18,830548.2881486374,94879606189.52824,14092.007245105451,1.1085356870563099e+18,24560.410065639742,1.1089714620974033e+18,5293.668637325928,1.107728605013376e+18,3953.5117871290176,1.1074631280393562e+18
