,Iterations,Cov_b,Cov_rnd_b,Cov_g,Cov_rnd_g,Cov_i,Cov_rnd_i,Cov_j,Cov_rnd_j,Cov_m,Cov_rnd_m,Cov_o,Cov_rnd_o,Cov_t,Cov_rnd_t,Cov_v,Cov_rnd_v,Cov_x,Cov_rnd_x,Cov_y,Cov_rnd_y
0,0,120000000000.0,120000000000.0,420000000000.0,420000000000.0,540000000000.0,540000000000.0,600000000000.0,600000000000.0,780000000000.0,780000000000.0,900000000000.0,900000000000.0,1200000000000.0,1200000000000.0,1320000000000.0,1320000000000.0,1440000000000.0,1440000000000.0,1500000000000.0,1500000000000.0
1,1000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,48270661643932.89,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,1487737.8649287417,1.1082409903631058e+18,2807765.9611247918,1.108149453753261e+18,1.1085356870563099e+18,1.1085356870563099e+18,1.1089714620974033e+18,1.1089714620974033e+18,1.107728605013376e+18,1.107728605013376e+18,1815598.0087083608,1.1074631280393562e+18
2,2000,8669760.771654468,1.1091252306956751e+18,97353432778320.38,63306.63514166575,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,310442.6380558921,1.1082409903631058e+18,1.108149453753261e+18,31681.642713060068,113019.36757112145,8623198.005964022,149351.71248023826,8650527.751427023,115067.68794205623,8628662.071438761,183072.3962212818,1.1074631280393562e+18
3,3000,8669760.771654468,1.1091252306956751e+18,97353432778320.38,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,450099.8069405532,1.1082409903631058e+18,27106019443957.92,1.108149453753261e+18,113019.36757112145,1.1085356870563099e+18,149351.71248023826,1.1089714620974033e+18,115067.68794205623,1.107728605013376e+18,228946.89935999367,1.1074631280393562e+18
4,4000,8669760.771654468,1.1091252306956751e+18,1.1103985582459951e+18,97353432778320.38,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,1487737.8649287417,94803265016.12297,2807765.9611247918,1.108149453753261e+18,113019.36757112145,20987.064235884827,149351.71248023826,8650527.751427023,310465.81958347344,19659.391138817835,91186.05118818427,94827608764.3168
5,5000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,83926.39641992109,1.1082409903631058e+18,2807765.9611247918,1.108149453753261e+18,113019.36757112145,1.1085356870563099e+18,149351.71248023826,1.1089714620974033e+18,115067.68794205623,1.107728605013376e+18,59329.83107251792,1.1074631280393562e+18
6,6000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,5679.448177074336,27496.736577368014,97496603178742.25,2807765.9611247918,7790.959443447853,94792119001.51038,24560.410065639742,1.1089714620974033e+18,5074.147434373926,94842032167.03947,4356.1440987612905,26332.344802065327
7,7000,1.1091252306956751e+18,1.1091252306956751e+18,13763.429036844132,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1559957.81735638,1.1102310904435539e+18,8640200.426056,27848.025433150462,24617.72112739319,1.108149453753261e+18,1.1085356870563099e+18,56204.27932939913,1.1089714620974033e+18,8549298265.714013,1.107728605013376e+18,48220.31883191837,1.1074631280393562e+18,53580.27414954584
8,8000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,5288.887919946617,1.1082409903631058e+18,97496603178742.25,1.108149453753261e+18,8000.596911852765,1.1085356870563099e+18,24560.410065639742,1.1089714620974033e+18,5197.047830666428,1.107728605013376e+18,4150.823472193298,1.1074631280393562e+18
9,9000,1.1091252306956751e+18,8669760.771654468,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,4018.2166664745805,1.1082409903631058e+18,2807765.9611247918,1.108149453753261e+18,14868.13787398331,1.1085356870563099e+18,8549298265.714013,1.1089714620974033e+18,7772.7116172178985,1.107728605013376e+18,3953.5117871290176,1.1074631280393562e+18
