,Iterations,Returns,Rnd_Returns
0,0,0.0,0.1
1,1000,0.8,0.0
2,2000,0.9,0.5
3,3000,0.9,0.1
4,4000,3.0,0.1
5,5000,3.0,0.0
6,6000,3.0,1.3
7,7000,3.6,0.9
8,8000,4.9,0.0
9,9000,4.9,0.1
10,10000,4.9,1.1
11,11000,4.8,0.0
12,12000,4.8,1.1
13,13000,4.8,0.2
14,14000,4.6,0.0
15,15000,4.7,1.7
16,16000,4.7,2.2
17,17000,4.6,1.2
18,18000,4.7,1.0
19,19000,4.7,0.0
20,20000,4.7,1.1
