,Iterations,Cov_b,Cov_rnd_b,Cov_g,Cov_rnd_g,Cov_i,Cov_rnd_i,Cov_j,Cov_rnd_j,Cov_m,Cov_rnd_m,Cov_o,Cov_rnd_o,Cov_t,Cov_rnd_t,Cov_v,Cov_rnd_v,Cov_x,Cov_rnd_x,Cov_y,Cov_rnd_y
0,0,120000000000.0,120000000000.0,420000000000.0,420000000000.0,540000000000.0,540000000000.0,600000000000.0,600000000000.0,780000000000.0,780000000000.0,900000000000.0,900000000000.0,1200000000000.0,1200000000000.0,1320000000000.0,1320000000000.0,1440000000000.0,1440000000000.0,1500000000000.0,1500000000000.0
1,1000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,813444.0847015282,1.1082409903631058e+18,830548.2881486374,1.108149453753261e+18,1.1085356870563099e+18,1.1085356870563099e+18,1.1089714620974033e+18,1.1089714620974033e+18,1.107728605013376e+18,1.107728605013376e+18,1815598.0087083608,1.1074631280393562e+18
2,2000,8669760.771654468,1.1091252306956751e+18,1.1103985582459951e+18,189609403513.09598,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,1010408.9631954248,1.1082409903631058e+18,27106019443957.92,189702355839.61978,113019.36757112145,1.1085356870563099e+18,149351.71248023826,1.1089714620974033e+18,115067.68794205623,1.107728605013376e+18,409942.4299902236,1.1074631280393562e+18
3,3000,8669760.771654468,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,78155.9661156686,1.1082409903631058e+18,830548.2881486374,1.108149453753261e+18,19559.80863832437,1.1085356870563099e+18,29476.346998003777,1.1089714620974033e+18,16579.81142424513,1.107728605013376e+18,12932.51581338786,1.1074631280393562e+18
4,4000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,27080145627928.375,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,27160151752778.008,6820.7378286745425,1.1082409903631058e+18,830548.2881486374,1.108149453753261e+18,7441.605317306443,1.1085356870563099e+18,14414.377081074792,1.1089714620974033e+18,4910.361857198744,1.107728605013376e+18,5080.917012476217,1.1074631280393562e+18
5,5000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,5566.887533247827,23908.772668696296,29009.358094907977,58388.7290083269,14092.007245105451,1.1085356870563099e+18,24560.410065639742,1.1089714620974033e+18,10558.91075151406,189587533397.96976,5447.740013304632,31625.30663135086
6,6000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,5047.585411004668,1.1082409903631058e+18,830548.2881486374,4483963576708.749,7790.959443447853,1.1085356870563099e+18,24560.410065639742,1.1089714620974033e+18,5074.147434373926,1.107728605013376e+18,4144.52253462125,1.1074631280393562e+18
7,7000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1489533.016578266,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,3986414.6393028884,5691.555702504448,1.1082409903631058e+18,830548.2881486374,10368929704183.326,7660.912762178125,1.1085356870563099e+18,14674.47468768141,1.1089714620974033e+18,4910.361857198744,1.107728605013376e+18,4493.887557333576,1.1074631280393562e+18
8,8000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,403658.2767480265,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,5691.555702504448,37774096135.981766,830548.2881486374,81240.21404100173,7660.912762178125,37745891334.869736,14674.47468768141,1.1089714620974033e+18,4910.361857198744,37771152397.039825,4493.887557333576,37789557213.14228
9,9000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,5047.585411004668,38140.23094734983,830548.2881486374,94879606189.52824,7790.959443447853,1338501066425.1567,24560.410065639742,1.1089714620974033e+18,5074.147434373926,1409739.7173728473,4144.52253462125,40974.51283734106
