,Iterations,Cov_b,Cov_rnd_b,Cov_g,Cov_rnd_g,Cov_i,Cov_rnd_i,Cov_j,Cov_rnd_j,Cov_m,Cov_rnd_m,Cov_o,Cov_rnd_o,Cov_t,Cov_rnd_t,Cov_v,Cov_rnd_v,Cov_x,Cov_rnd_x,Cov_y,Cov_rnd_y
0,0,120000000000.0,120000000000.0,420000000000.0,420000000000.0,540000000000.0,540000000000.0,600000000000.0,600000000000.0,780000000000.0,780000000000.0,900000000000.0,900000000000.0,1200000000000.0,1200000000000.0,1320000000000.0,1320000000000.0,1440000000000.0,1440000000000.0,1500000000000.0,1500000000000.0
1,1000,8669760.771654468,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,3373614.716170168,1.1082409903631058e+18,48221870461254.555,1.108149453753261e+18,1.1085356870563099e+18,1.1085356870563099e+18,1.1089714620974033e+18,1.1089714620974033e+18,1.107728605013376e+18,1.107728605013376e+18,4135759.5573401423,1.1074631280393562e+18
2,2000,8669760.771654468,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,3373614.716170168,3492692.2851241953,48221870461254.555,48221870461254.555,1.1085356870563099e+18,1.1085356870563099e+18,95092295691.22061,1.1089714620974033e+18,1.107728605013376e+18,1.107728605013376e+18,4135759.5573401423,4273105.345723568
3,3000,8669760.771654468,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,3373614.716170168,1.1082409903631058e+18,48221870461254.555,1.108149453753261e+18,1.1085356870563099e+18,1.1085356870563099e+18,95092295691.22061,95092295691.22061,1.107728605013376e+18,1.107728605013376e+18,4135759.5573401423,1.1074631280393562e+18
4,4000,8669760.771654468,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,116745.53808830702,1.1082409903631058e+18,48221870461254.555,37783095515.34932,113019.36757112145,1.1085356870563099e+18,149351.71248023826,1.1089714620974033e+18,115067.68794205623,1.107728605013376e+18,78956.91559480276,1.1074631280393562e+18
5,5000,8669760.771654468,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,116745.53808830702,1.1082409903631058e+18,48221870461254.555,1.108149453753261e+18,113019.36757112145,1.1085356870563099e+18,149351.71248023826,1.1089714620974033e+18,115067.68794205623,1.107728605013376e+18,78956.91559480276,1.1074631280393562e+18
6,6000,8669760.771654468,1.1091252306956751e+18,1.1103985582459951e+18,189609403513.09598,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,116745.53808830702,94803265016.12297,48221870461254.555,189702355839.61978,113019.36757112145,14652.63010811687,149351.71248023826,24560.410065639742,115067.68794205623,13391.449768491517,78956.91559480276,53580.27414954584
7,7000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,790488.3133224823,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,116745.53808830702,9019643.557487402,48221870461254.555,235646.67557413003,9319.409566865646,1.1085356870563099e+18,12425.076192014201,1.1089714620974033e+18,7757.63645757783,1.107728605013376e+18,13675.89510025189,11201335.012597622
8,8000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,6820.387246750009,1.1082409903631058e+18,830548.2881486374,1.108149453753261e+18,7441.605317306443,1.1085356870563099e+18,14414.377081074792,1.1089714620974033e+18,4910.361857198744,1.107728605013376e+18,5097.235566164706,1.1074631280393562e+18
9,9000,1.1091252306956751e+18,8669760.771654468,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,6820.387246750009,1.1082409903631058e+18,830548.2881486374,1.108149453753261e+18,7441.605317306443,1.1085356870563099e+18,14414.377081074792,1.1089714620974033e+18,4910.361857198744,1.107728605013376e+18,5097.235566164706,1.1074631280393562e+18
