,Iterations,Cov_b,Cov_rnd_b,Cov_g,Cov_rnd_g,Cov_i,Cov_rnd_i,Cov_j,Cov_rnd_j,Cov_m,Cov_rnd_m,Cov_o,Cov_rnd_o,Cov_t,Cov_rnd_t,Cov_v,Cov_rnd_v,Cov_x,Cov_rnd_x,Cov_y,Cov_rnd_y
10,10000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,5704.558669585352,2527790.1965627256,830548.2881486374,1.108149453753261e+18,7660.912762178125,20982.409126585433,14674.47468768141,8650527.751427023,4910.361857198744,19655.401674699224,4510.786395092896,3124137.200723574
11,11000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,5049.655498818306,1.1082409903631058e+18,830548.2881486374,1.108149453753261e+18,7790.959443447853,1.1085356870563099e+18,24560.410065639742,1.1089714620974033e+18,5074.147434373926,1.107728605013376e+18,4160.6456115490555,1.1074631280393562e+18
12,12000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,218407.60398169263,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,5049.655498818306,21609.516861801836,830548.2881486374,37544.45397465347,7790.959443447853,1.1085356870563099e+18,24560.410065639742,1.1089714620974033e+18,5074.147434373926,1.107728605013376e+18,4160.6456115490555,274329.66311059
13,13000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,5049.655498818306,1.1082409903631058e+18,830548.2881486374,1.108149453753261e+18,7790.959443447853,189576938032.29492,24560.410065639742,190016581362.54416,5074.147434373926,1.107728605013376e+18,4160.6456115490555,1.1074631280393562e+18
14,14000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,4062.7695067906184,1.1082409903631058e+18,830548.2881486374,1.108149453753261e+18,14172.759027477674,1.1085356870563099e+18,8549298265.714013,1.1089714620974033e+18,7524.995281933236,1.107728605013376e+18,4160.6456115490555,1.1074631280393562e+18
15,15000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,549336.172189064,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,4495.873060234327,35883.80820858359,830548.2881486374,140109.31515432466,13754.1526272799,20993.677538601747,40648.19946228851,8650527.751427023,7216.604233298922,19665.299138801907,4510.786395092896,40239.48775858353
16,16000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,25188.352063728293,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1621166.6667383849,4495.873060234327,110689.62878144681,830548.2881486374,192498.3708423491,13754.1526272799,8623198.005964022,40648.19946228851,24510.54040261927,7216.604233298922,19657.349607778015,4510.786395092896,112192.58490175332
17,17000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,4062.7695067906184,490908.4215519624,830548.2881486374,16357516066561.078,14172.759027477674,4837243.273096522,8549298265.714013,1.1089714620974033e+18,7524.995281933236,489005.194253974,4160.6456115490555,609504.2903145174
18,18000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,3099968.6691306527,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,4495.873060234327,1433257.0669279473,830548.2881486374,44048.78558744042,13754.1526272799,1.1085356870563099e+18,40648.19946228851,1.1089714620974033e+18,7216.604233298922,4488889872600.732,4510.786395092896,1779597.928736725
19,19000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,4495.873060234327,1.1082409903631058e+18,830548.2881486374,1.108149453753261e+18,13754.1526272799,1.1085356870563099e+18,40648.19946228851,1.1089714620974033e+18,7216.604233298922,1.107728605013376e+18,4510.786395092896,1.1074631280393562e+18
20,20000,1.1091252306956751e+18,1.1091252306956751e+18,1.1103985582459951e+18,1.1103985582459951e+18,1.107992471343039e+18,1.107992471343039e+18,1.1102310904435539e+18,1.1102310904435539e+18,4495.873060234327,10479.757704801441,830548.2881486374,64889.56637106676,13754.1526272799,94792119001.51038,40648.19946228851,1.1089714620974033e+18,7216.604233298922,94842032167.03947,4510.786395092896,20397.598144857995
